1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
2.823789, 2.745233, 2.775078, 2.698502, 2.761900
1.430785, 1.461719, 1.441025, 1.425136, 1.429230
1.000138, 1.005784, 0.998020, 1.009180, 0.964566
0.829712, 0.785854, 0.778016, 0.779067, 0.796161
0.705325, 0.728762, 0.717615, 0.687587, 0.728204
0.656361, 0.643367, 0.690135, 0.655715, 0.634633
0.649966, 0.604713, 0.612143, 0.671194, 0.702634
0.675389, 0.696679, 0.636503, 0.686036, 0.716476
