1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
2.792760, 2.851924, 2.775588, 2.811642, 2.775061
1.461247, 1.450321, 1.505678, 1.463169, 1.489946
0.997980, 1.023176, 1.013741, 1.018381, 1.026346
0.793103, 0.802686, 0.779314, 0.815294, 0.789533
0.726784, 0.701700, 0.707330, 0.679447, 0.709070
0.670714, 0.660527, 0.703933, 0.693128, 0.638957
0.655517, 0.644856, 0.702665, 0.700154, 0.574593
0.659698, 0.676682, 0.761804, 0.684824, 0.701168
