1stExec, 2ndExec, 3rdExec, 4thExec, 5thExec
2.664236, 2.596319, 2.708633, 2.629706, 2.717222
2.279094, 2.336326, 2.226327, 2.345504, 2.406767
1.918836, 1.824865, 1.795850, 1.690383, 1.684208
1.364612, 1.322144, 1.331756, 1.327779, 1.545960
1.387786, 1.437476, 1.398464, 1.349985, 1.349613
1.239672, 1.248191, 1.194052, 1.316241, 1.154095
1.142807, 1.176461, 1.134382, 1.205026, 1.119264
1.028056, 0.967388, 1.070038, 1.008219, 1.043582
